satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0.38,0.54,two,128.0,3+,no,yes,no,technical,low
0.85,1.0,four,225.0,5+,no,yes,no,technical,low
0.85,0.91,five,226.0,5+,no,yes,no,management,medium
0.11,0.93,seven,308.0,4+,no,yes,no,IT,medium
0.1,0.95,six,244.0,5+,no,yes,no,IT,medium
0.36,0.56,two,132.0,3+,no,yes,no,IT,medium
0.11,0.94,six,286.0,4+,no,yes,no,IT,medium
0.81,0.7,six,161.0,4+,no,yes,no,IT,medium
0.43,0.54,two,153.0,3+,no,yes,no,product_mng,medium
0.9,0.98,four,264.0,6+,no,yes,no,product_mng,medium
0.76,0.86,five,223.0,5+,yes,yes,no,product_mng,medium
0.43,0.5,two,135.0,3+,no,yes,no,product_mng,medium
0.74,0.99,two,277.0,3+,no,yes,no,IT,medium
0.09,0.77,five,275.0,4+,no,yes,no,product_mng,medium
0.45,0.49,two,149.0,3+,no,yes,no,product_mng,high
0.09,0.87,seven,295.0,4+,no,yes,no,product_mng,low
0.11,0.97,six,277.0,4+,no,yes,no,product_mng,medium
0.11,0.79,seven,306.0,4+,no,yes,no,product_mng,medium
0.1,0.83,six,295.0,4+,no,yes,no,product_mng,medium
0.4,0.54,two,137.0,3+,no,yes,no,marketing,medium
0.43,0.56,two,157.0,3+,no,yes,no,sales,low
0.39,0.56,two,142.0,3+,no,yes,no,accounting,low
0.45,0.54,two,140.0,3+,no,yes,no,support,low
0.38,0.49,two,151.0,3+,no,yes,no,technical,low
0.79,0.59,four,139.0,3+,no,yes,yes,management,low
0.84,0.85,four,249.0,6+,no,yes,no,marketing,low
0.11,0.77,six,291.0,4+,no,yes,no,marketing,low
0.11,0.87,six,305.0,4+,no,yes,no,marketing,low
0.17,0.84,five,232.0,3+,no,yes,no,sales,low
0.44,0.45,two,132.0,3+,no,yes,no,sales,low
0.37,0.57,two,130.0,3+,no,yes,no,sales,low
0.1,0.79,six,291.0,4+,no,yes,no,sales,low
0.4,0.5,two,130.0,3+,no,yes,no,sales,low
0.89,1.0,five,246.0,5+,no,yes,no,sales,low
0.42,0.48,two,143.0,3+,no,yes,no,sales,low
0.46,0.55,two,129.0,3+,no,yes,no,sales,low
0.09,0.83,six,255.0,4+,no,yes,no,sales,low
0.37,0.51,two,155.0,3+,no,yes,no,sales,low
0.1,0.77,six,265.0,4+,no,yes,no,sales,low
0.1,0.84,six,279.0,4+,no,yes,no,sales,low
0.11,0.97,six,284.0,4+,no,yes,no,sales,low
0.9,1.0,five,221.0,6+,no,yes,no,sales,medium
0.38,0.52,two,154.0,3+,no,yes,no,sales,medium
0.36,0.52,two,147.0,3+,no,yes,no,sales,medium
0.42,0.46,two,150.0,3+,no,yes,no,sales,medium
0.09,0.94,seven,267.0,4+,no,yes,no,sales,medium
0.43,0.52,two,158.0,3+,no,yes,no,sales,medium
0.24,0.46,seven,224.0,5+,no,yes,no,accounting,medium
0.91,1.0,four,257.0,5+,no,yes,no,accounting,medium
0.44,0.5,two,148.0,3+,no,yes,no,accounting,medium
0.71,0.87,three,177.0,4+,no,yes,no,hr,medium
0.4,0.49,two,155.0,3+,no,yes,no,hr,medium
0.43,0.47,two,144.0,3+,no,yes,no,hr,medium
0.09,0.85,six,289.0,4+,no,yes,no,hr,high
0.43,0.52,two,160.0,3+,no,yes,no,technical,low
0.9,0.96,four,258.0,5+,no,yes,no,technical,medium
0.84,1.0,five,234.0,5+,no,yes,no,technical,medium
0.37,0.48,two,137.0,3+,no,yes,no,technical,medium
0.86,0.68,five,263.0,2+,no,yes,no,technical,medium
0.11,0.84,six,251.0,4+,no,yes,no,technical,low
0.37,0.57,two,133.0,3+,no,yes,no,technical,low
0.4,0.46,two,132.0,3+,no,yes,no,technical,low
0.14,0.62,four,158.0,4+,yes,yes,no,technical,low
0.4,0.46,two,135.0,3+,no,yes,no,technical,low
0.75,1.0,four,216.0,6+,no,yes,no,technical,low
0.11,0.84,six,300.0,5+,yes,yes,no,support,low
0.46,0.49,two,138.0,3+,no,yes,no,support,low
0.11,0.92,six,260.0,4+,no,yes,no,support,low
0.38,0.49,two,132.0,3+,no,yes,no,support,low
0.7,0.89,three,183.0,5+,no,yes,no,support,low
0.09,0.82,six,250.0,4+,no,yes,no,support,low
0.37,0.45,two,151.0,3+,no,yes,no,support,low
0.1,0.83,six,292.0,4+,no,yes,no,support,low
0.38,0.57,two,140.0,3+,no,yes,no,support,low
0.9,1.0,five,221.0,5+,no,yes,no,support,low
0.44,0.51,two,138.0,3+,no,yes,no,support,low
0.36,0.5,two,132.0,3+,no,yes,no,technical,low
0.31,0.84,seven,133.0,5+,no,yes,no,technical,low
0.1,0.84,six,283.0,4+,yes,yes,no,technical,low
0.42,0.48,two,129.0,3+,no,yes,no,management,low
0.74,1.0,four,249.0,5+,no,yes,no,IT,low
0.73,0.87,five,257.0,5+,no,yes,no,IT,low
0.09,0.96,six,245.0,4+,no,yes,no,IT,low
0.45,0.53,two,155.0,3+,no,yes,no,IT,low
0.11,0.8,six,256.0,4+,no,yes,no,IT,low
0.37,0.47,two,152.0,3+,no,yes,no,product_mng,low
0.84,0.99,four,267.0,5+,no,yes,no,product_mng,low
0.41,0.46,two,151.0,3+,no,yes,no,product_mng,low
0.76,0.92,four,239.0,5+,no,yes,no,product_mng,low
0.11,0.87,six,306.0,4+,no,yes,no,IT,low
0.84,0.88,four,263.0,5+,yes,yes,no,marketing,low
0.39,0.5,two,147.0,3+,no,yes,no,marketing,low
0.11,0.91,six,278.0,4+,no,yes,no,marketing,low
0.45,0.56,two,154.0,3+,no,yes,no,marketing,low
0.37,0.52,two,143.0,3+,no,yes,no,marketing,low
0.4,0.52,two,155.0,3+,no,yes,no,marketing,low
0.39,0.48,two,160.0,3+,no,yes,no,sales,low
0.11,0.8,six,304.0,4+,no,yes,no,accounting,low
0.83,1.0,five,240.0,5+,no,yes,no,support,low
0.11,0.92,six,305.0,4+,no,yes,no,technical,low
0.39,0.5,two,136.0,3+,no,yes,no,management,low
0.45,0.45,two,132.0,3+,no,yes,no,marketing,low
0.1,0.95,seven,301.0,4+,no,yes,no,marketing,low
0.9,0.98,five,243.0,6+,no,yes,no,marketing,low
0.45,0.51,two,147.0,3+,no,yes,no,sales,low
0.79,0.89,five,239.0,5+,no,yes,no,sales,low
0.9,0.99,five,260.0,5+,no,yes,no,sales,low
0.11,0.84,seven,296.0,4+,no,yes,no,sales,low
0.43,0.55,two,129.0,3+,no,yes,no,sales,low
0.31,0.54,five,132.0,5+,no,yes,no,sales,low
0.32,0.5,two,135.0,5+,no,yes,no,sales,low
0.45,0.57,two,158.0,3+,no,yes,no,sales,low
0.81,0.99,four,259.0,5+,no,yes,no,sales,low
0.41,0.46,two,160.0,3+,no,yes,yes,sales,low
0.11,0.78,seven,278.0,4+,no,yes,no,sales,low
0.1,0.88,six,284.0,4+,no,yes,no,sales,low
0.7,0.53,two,274.0,4+,no,yes,no,sales,low
0.54,0.74,four,164.0,2+,no,yes,no,sales,low
0.41,0.48,two,148.0,3+,no,yes,no,sales,low
0.38,0.5,two,140.0,3+,no,yes,no,sales,medium
0.37,0.51,two,127.0,3+,no,yes,no,sales,medium
0.11,0.85,six,308.0,5+,no,yes,no,sales,medium
0.4,0.47,two,146.0,3+,no,yes,no,sales,medium
0.1,0.84,six,261.0,4+,no,yes,no,accounting,medium
0.89,0.99,five,257.0,5+,no,yes,no,accounting,medium
0.11,0.8,six,285.0,4+,no,yes,no,accounting,medium
0.36,0.55,two,141.0,3+,no,yes,no,hr,medium
0.4,0.46,two,127.0,3+,no,yes,no,hr,medium
0.09,0.85,six,297.0,4+,no,yes,no,hr,medium
0.4,0.46,two,143.0,3+,no,yes,no,hr,medium
0.37,0.55,two,152.0,3+,no,yes,no,technical,medium
0.44,0.51,two,156.0,3+,no,yes,no,technical,high
0.09,0.8,seven,283.0,5+,no,yes,no,technical,low
0.92,0.87,four,226.0,6+,yes,yes,no,technical,medium
0.74,0.91,four,232.0,5+,no,yes,no,technical,medium
0.09,0.82,six,249.0,4+,no,yes,no,technical,medium
0.89,0.95,four,275.0,5+,no,yes,no,technical,medium
0.09,0.8,six,304.0,4+,no,yes,no,technical,low
0.27,0.54,seven,278.0,3+,no,yes,no,technical,low
0.1,0.91,six,287.0,4+,no,yes,no,technical,low
0.1,0.89,seven,285.0,4+,no,yes,no,technical,low
0.77,0.94,five,226.0,6+,no,yes,no,support,low
0.9,0.82,five,259.0,5+,no,yes,no,support,low
0.39,0.5,two,135.0,3+,no,yes,no,support,low
0.76,1.0,five,219.0,5+,no,yes,no,support,low
0.1,0.93,six,256.0,4+,no,yes,no,support,low
0.87,0.9,five,254.0,6+,no,yes,no,support,low
0.38,0.5,two,153.0,3+,no,yes,no,support,low
0.77,0.99,five,228.0,5+,no,yes,no,support,low
0.78,0.87,four,228.0,5+,no,yes,no,support,low
0.44,0.5,two,128.0,3+,no,yes,no,support,low
0.38,0.52,two,153.0,3+,no,yes,no,support,low
0.43,0.46,two,156.0,3+,no,yes,no,technical,low
0.39,0.5,four,294.0,3+,no,yes,no,technical,low
0.88,1.0,five,219.0,5+,no,yes,no,technical,low
0.45,0.46,two,153.0,3+,no,yes,no,management,low
0.4,0.53,two,151.0,3+,no,yes,no,IT,low
0.36,0.51,two,155.0,3+,no,yes,no,IT,low
0.36,0.48,two,158.0,3+,no,yes,no,IT,low
0.9,0.98,five,245.0,5+,no,yes,no,IT,low
0.43,0.53,two,131.0,3+,no,yes,no,IT,low
0.89,0.87,five,225.0,5+,no,yes,no,product_mng,low
0.1,0.84,six,286.0,4+,no,yes,no,product_mng,low
0.37,0.5,two,135.0,3+,no,yes,no,product_mng,low
0.37,0.51,two,153.0,3+,no,yes,no,product_mng,low
0.87,0.9,five,252.0,5+,no,yes,no,IT,low
0.4,0.56,two,149.0,3+,no,yes,no,accounting,low
0.9,0.97,four,258.0,5+,no,yes,no,accounting,low
0.37,0.46,two,158.0,3+,no,yes,no,hr,low
0.44,0.54,two,149.0,3+,no,yes,no,hr,low
0.85,0.95,five,236.0,5+,no,yes,no,hr,low
0.78,0.98,five,239.0,6+,no,yes,no,marketing,low
0.42,0.47,two,159.0,3+,no,yes,no,marketing,low
0.92,0.99,five,255.0,6+,no,yes,no,sales,low
0.11,0.83,six,244.0,4+,no,yes,no,accounting,low
0.42,0.56,two,134.0,3+,no,yes,no,support,low
0.48,0.57,four,270.0,4+,no,yes,no,technical,low
0.83,0.85,four,255.0,5+,no,yes,no,management,low
0.4,0.53,two,151.0,3+,no,yes,no,marketing,low
0.43,0.45,two,135.0,3+,no,yes,no,marketing,low
0.43,0.53,two,146.0,3+,no,yes,no,marketing,low
0.1,0.97,seven,254.0,4+,no,yes,no,sales,low
0.1,0.87,seven,289.0,4+,no,yes,no,sales,low
0.37,0.46,two,156.0,3+,no,yes,no,sales,low
0.38,0.53,two,156.0,3+,no,yes,no,sales,low
0.4,0.5,two,128.0,3+,no,yes,no,sales,low
0.89,0.86,five,275.0,5+,no,yes,no,sales,low
0.45,0.46,two,155.0,3+,no,yes,no,sales,low
0.37,0.48,two,159.0,3+,no,yes,no,sales,low
0.46,0.49,two,148.0,3+,no,yes,no,sales,low
0.87,0.91,four,228.0,5+,no,yes,no,sales,low
0.11,0.84,six,298.0,4+,no,yes,no,sales,low
0.79,0.87,five,261.0,5+,no,yes,no,sales,low
0.79,0.92,five,254.0,6+,no,yes,no,sales,low
0.19,0.59,seven,192.0,3+,no,yes,no,sales,low
0.87,0.98,four,248.0,5+,no,yes,no,sales,low
0.6,0.92,two,258.0,5+,no,yes,no,sales,low
0.44,0.45,two,156.0,3+,no,yes,no,sales,medium
0.11,0.81,six,266.0,4+,yes,yes,no,sales,medium
0.42,0.54,two,156.0,3+,no,yes,no,sales,medium
0.88,0.88,five,232.0,5+,yes,yes,no,accounting,medium
0.11,0.84,six,287.0,4+,no,yes,no,accounting,medium
0.46,0.46,two,154.0,3+,no,yes,no,accounting,medium
0.82,0.97,five,263.0,5+,no,yes,no,hr,medium
0.44,0.56,two,131.0,3+,no,yes,no,hr,medium
0.11,0.78,six,260.0,4+,no,yes,no,hr,medium
0.42,0.5,two,139.0,3+,no,yes,no,hr,medium
0.84,0.93,four,251.0,5+,no,yes,no,technical,medium
0.11,0.95,six,286.0,4+,no,yes,no,technical,medium
0.45,0.53,two,129.0,3+,no,yes,no,technical,high
0.38,0.56,two,156.0,3+,no,yes,no,technical,low
0.38,0.86,six,139.0,6+,no,yes,no,technical,medium
0.44,0.51,two,127.0,3+,no,yes,no,technical,medium
0.11,0.84,six,251.0,4+,no,yes,no,technical,medium
0.81,0.93,five,270.0,5+,no,yes,no,technical,medium
0.09,0.96,six,296.0,4+,no,yes,no,technical,low
0.11,0.9,six,254.0,4+,no,yes,no,technical,low
0.81,0.95,five,238.0,6+,no,yes,no,technical,low
0.1,0.97,six,267.0,4+,yes,yes,no,support,low
0.74,0.89,five,229.0,6+,no,yes,no,support,low
0.09,0.78,six,254.0,4+,no,yes,no,support,low
0.82,0.81,four,233.0,4+,yes,yes,no,support,low
0.1,0.98,six,268.0,4+,no,yes,no,support,low
0.27,0.56,three,301.0,3+,no,yes,no,support,low
0.83,0.92,five,267.0,6+,no,yes,no,support,low
0.1,0.93,six,289.0,4+,yes,yes,no,support,low
0.38,0.47,two,144.0,3+,no,yes,no,support,low
0.4,0.56,two,148.0,3+,no,yes,no,support,low
0.11,0.83,six,306.0,4+,no,yes,no,support,low
0.11,0.79,six,292.0,4+,no,yes,yes,technical,low
0.82,0.91,five,232.0,5+,no,yes,no,technical,low
0.36,0.48,two,137.0,3+,no,yes,no,technical,low
0.4,0.46,two,128.0,3+,no,yes,no,management,low
0.87,0.84,five,231.0,5+,no,yes,no,IT,low
0.41,0.49,two,146.0,3+,no,yes,no,IT,low
0.11,0.91,six,308.0,4+,yes,yes,no,IT,low
0.1,0.93,six,253.0,4+,no,yes,no,IT,medium
0.38,0.51,two,146.0,3+,no,yes,no,IT,medium
0.39,0.55,two,156.0,3+,no,yes,no,product_mng,medium
0.4,0.52,two,147.0,3+,no,yes,no,product_mng,medium
0.45,0.48,two,136.0,3+,no,yes,no,product_mng,medium
0.74,0.84,five,249.0,5+,no,yes,no,product_mng,medium
0.45,0.55,two,151.0,3+,no,yes,no,IT,medium
0.12,1.0,three,278.0,4+,no,yes,no,RandD,medium
0.1,0.77,seven,250.0,5+,no,yes,no,RandD,medium
0.37,0.55,two,127.0,3+,no,yes,no,RandD,medium
0.89,0.87,five,255.0,5+,no,yes,no,RandD,medium
0.45,0.47,two,135.0,3+,no,yes,no,RandD,medium
0.37,0.46,two,149.0,3+,no,yes,no,marketing,high
0.11,0.81,five,287.0,4+,no,yes,no,sales,low
0.41,0.48,two,145.0,3+,no,yes,no,accounting,medium
0.1,0.94,six,285.0,4+,no,yes,no,support,medium
0.1,0.93,seven,305.0,4+,no,yes,no,technical,medium
0.11,0.95,seven,300.0,4+,no,yes,no,management,medium
0.4,0.54,two,139.0,3+,no,yes,no,marketing,low
0.41,0.49,two,130.0,3+,no,yes,no,marketing,low
0.1,0.81,six,268.0,4+,no,yes,no,marketing,low
0.73,0.86,four,245.0,6+,no,yes,no,sales,low
0.43,0.47,two,135.0,3+,no,yes,no,sales,low
0.37,0.46,two,153.0,3+,no,yes,no,sales,low
0.11,0.94,six,276.0,4+,no,yes,no,sales,low
0.4,0.46,two,130.0,3+,no,yes,no,sales,low
0.41,0.54,two,153.0,3+,yes,yes,no,sales,low
0.82,0.84,five,244.0,5+,no,yes,no,sales,low
0.61,0.47,two,253.0,3+,no,yes,no,sales,low
0.11,0.91,seven,287.0,4+,no,yes,no,sales,low
0.37,0.45,two,131.0,3+,no,yes,no,sales,low
0.41,0.52,two,135.0,3+,no,yes,no,sales,low
0.37,0.52,two,157.0,3+,no,yes,no,sales,low
0.88,0.99,five,262.0,6+,no,yes,no,sales,low
0.1,0.85,six,266.0,4+,no,yes,no,sales,low
0.44,0.48,two,148.0,3+,no,yes,no,sales,low
0.38,0.57,two,140.0,3+,no,yes,no,sales,low
0.11,0.85,seven,302.0,4+,no,yes,no,sales,low
0.09,0.98,six,271.0,4+,no,yes,no,sales,low
0.45,0.52,two,145.0,3+,no,yes,no,sales,medium
0.1,0.81,six,290.0,4+,no,yes,no,accounting,medium
0.45,0.47,two,151.0,3+,no,yes,no,accounting,medium
0.77,0.87,five,266.0,5+,no,yes,no,accounting,medium
0.44,0.51,two,140.0,3+,no,yes,no,hr,medium
0.39,0.5,two,142.0,3+,no,yes,no,hr,medium
0.1,0.91,six,246.0,4+,no,yes,no,hr,medium
0.09,0.89,seven,308.0,5+,no,yes,no,hr,medium
0.37,0.47,two,141.0,3+,no,yes,no,technical,medium
0.9,1.0,five,232.0,5+,no,yes,no,technical,medium
0.41,0.56,two,143.0,3+,no,yes,no,technical,medium
0.37,0.52,two,155.0,3+,no,yes,no,technical,medium
0.1,0.86,six,278.0,4+,no,yes,no,technical,high
0.81,1.0,four,253.0,5+,no,yes,no,technical,low
0.11,0.8,six,282.0,4+,no,yes,no,technical,medium
0.11,0.84,seven,264.0,4+,no,yes,no,technical,medium
0.4,0.46,two,149.0,3+,no,yes,no,technical,medium
0.09,0.8,six,304.0,5+,no,yes,no,technical,medium
0.48,0.93,three,219.0,6+,no,yes,no,technical,low
0.91,0.91,four,262.0,6+,no,yes,no,support,low
0.43,0.57,two,135.0,3+,no,yes,no,support,low
0.33,0.88,six,219.0,5+,no,yes,no,support,low
0.41,0.57,two,136.0,3+,no,yes,no,support,low
0.41,0.55,two,154.0,3+,no,yes,no,support,low
0.37,0.54,two,149.0,3+,no,yes,no,support,low
0.31,0.62,six,135.0,5+,no,yes,no,support,low
0.09,0.91,six,275.0,4+,no,yes,no,support,low
0.1,0.87,six,290.0,4+,no,yes,no,support,low
0.76,0.9,four,263.0,5+,no,yes,no,support,low
0.41,0.54,two,145.0,3+,no,yes,no,support,low
0.72,0.96,five,267.0,5+,no,yes,no,technical,low
0.4,0.5,two,141.0,3+,yes,yes,no,technical,low
0.91,0.87,four,235.0,5+,no,yes,no,technical,low
0.1,0.83,six,258.0,4+,no,yes,no,management,low
0.4,0.56,two,131.0,3+,no,yes,no,IT,low
0.82,0.86,five,243.0,5+,no,yes,no,IT,low
0.1,0.82,six,266.0,4+,no,yes,no,IT,low
0.37,0.45,two,142.0,3+,no,yes,no,IT,low
0.36,0.51,two,135.0,3+,no,yes,no,IT,low
0.39,0.48,two,141.0,3+,no,yes,no,product_mng,medium
0.36,0.57,two,142.0,3+,no,yes,no,product_mng,medium
0.86,0.84,five,254.0,5+,no,yes,no,product_mng,medium
0.73,0.99,five,262.0,5+,no,yes,no,product_mng,medium
0.56,0.71,four,296.0,2+,no,yes,no,IT,medium
0.44,0.56,two,158.0,3+,no,yes,no,accounting,medium
0.31,0.56,four,238.0,2+,no,yes,no,accounting,medium
0.77,0.93,four,231.0,5+,no,yes,no,hr,medium
0.44,0.45,two,156.0,3+,no,yes,no,hr,medium
0.38,0.46,two,145.0,3+,no,yes,no,hr,medium
0.45,0.48,two,144.0,3+,no,yes,no,marketing,medium
0.38,0.51,two,159.0,3+,no,yes,no,sales,medium
0.36,0.48,two,156.0,3+,no,yes,no,accounting,high
0.75,0.9,five,256.0,5+,no,yes,no,support,low
0.1,0.93,six,298.0,4+,no,yes,no,technical,medium
0.1,0.97,six,247.0,4+,no,yes,no,management,medium
0.45,0.5,two,157.0,3+,no,yes,no,marketing,medium
0.42,0.57,two,154.0,3+,yes,yes,no,marketing,medium
0.78,1.0,four,253.0,5+,no,yes,no,marketing,low
0.45,0.55,two,148.0,3+,no,yes,no,sales,low
0.84,1.0,four,261.0,5+,no,yes,no,sales,low
0.11,0.93,six,282.0,4+,no,yes,no,sales,low
0.42,0.56,two,133.0,3+,no,yes,no,sales,low
0.45,0.46,two,128.0,3+,no,yes,no,sales,low
0.46,0.57,two,139.0,3+,no,yes,no,sales,low
0.09,0.79,six,293.0,5+,no,yes,no,sales,low
0.87,0.83,four,265.0,6+,no,yes,no,sales,low
0.1,0.87,six,250.0,4+,no,yes,no,sales,low
0.91,1.0,five,251.0,6+,no,yes,no,sales,low
0.76,0.92,four,246.0,5+,no,yes,no,sales,low
0.74,1.0,five,275.0,5+,no,yes,no,sales,low
0.92,0.93,five,240.0,5+,no,yes,no,sales,low
0.76,0.87,five,245.0,5+,no,yes,no,sales,low
0.47,0.5,four,254.0,4+,no,yes,no,sales,low
0.73,0.99,five,241.0,5+,no,yes,no,sales,low
0.09,0.94,six,257.0,4+,no,yes,no,sales,low
0.91,0.92,four,246.0,5+,no,yes,no,sales,low
0.82,0.98,four,233.0,5+,no,yes,no,sales,low
0.28,0.45,six,218.0,4+,no,yes,no,accounting,low
0.84,0.99,four,262.0,6+,no,yes,no,accounting,medium
0.45,0.53,two,138.0,3+,no,yes,no,accounting,medium
0.45,0.54,two,142.0,3+,no,yes,no,hr,medium
0.91,0.97,five,233.0,5+,no,yes,no,hr,medium
0.42,0.48,two,155.0,3+,no,yes,no,hr,medium
0.82,1.0,four,229.0,6+,no,yes,no,hr,medium
0.11,0.9,six,264.0,4+,no,yes,no,technical,medium
0.42,0.53,three,199.0,4+,no,yes,no,technical,medium
0.82,0.85,four,223.0,5+,no,yes,no,technical,medium
0.09,0.96,six,268.0,4+,no,yes,no,technical,medium
0.1,0.94,six,287.0,4+,no,yes,no,technical,medium
0.86,1.0,five,257.0,5+,no,yes,no,technical,medium
0.4,0.46,two,143.0,3+,no,yes,no,technical,high
0.45,0.46,two,130.0,3+,no,yes,no,technical,low
0.42,0.51,two,136.0,3+,no,yes,no,technical,medium
0.74,0.92,four,261.0,5+,no,yes,no,technical,medium
0.55,0.6,three,180.0,4+,no,yes,no,technical,medium
0.37,0.45,two,126.0,3+,no,yes,no,support,medium
0.41,0.52,two,127.0,3+,yes,yes,no,support,low
0.89,0.65,five,195.0,6+,no,yes,no,support,low
0.41,0.57,two,160.0,3+,no,yes,no,support,low
0.44,0.51,two,150.0,3+,no,yes,no,support,low
0.87,0.84,four,264.0,6+,no,yes,no,support,low
0.1,0.84,six,309.0,4+,no,yes,no,support,low
0.41,0.47,two,135.0,3+,no,yes,no,support,low
0.11,0.85,six,261.0,4+,no,yes,no,support,low
0.43,0.53,two,160.0,3+,no,yes,no,support,low
0.77,0.9,four,237.0,5+,no,yes,no,support,low
0.41,0.52,two,136.0,3+,no,yes,no,technical,low
0.41,0.48,two,139.0,3+,no,yes,no,technical,low
0.36,0.78,two,151.0,4+,no,yes,no,technical,low
0.77,1.0,five,229.0,5+,no,yes,no,management,low
0.81,0.98,five,245.0,5+,no,yes,no,IT,low
0.39,0.54,two,127.0,3+,no,yes,no,IT,low
0.09,0.94,six,283.0,5+,no,yes,no,IT,low
0.44,0.46,two,143.0,3+,no,yes,no,IT,low
0.1,0.84,five,298.0,4+,no,yes,no,IT,low
0.36,0.48,two,159.0,3+,no,yes,no,product_mng,low
0.81,0.92,five,239.0,5+,no,yes,no,product_mng,low
0.81,0.9,four,226.0,5+,no,yes,no,product_mng,medium
0.85,0.98,five,248.0,5+,no,yes,no,product_mng,medium
0.1,0.87,six,286.0,4+,no,yes,no,IT,medium
0.37,0.54,two,145.0,3+,no,yes,no,RandD,medium
0.09,0.97,seven,254.0,4+,yes,yes,no,RandD,medium
0.44,0.53,two,127.0,3+,no,yes,no,RandD,medium
0.86,0.93,five,223.0,5+,no,yes,no,RandD,medium
0.77,1.0,four,255.0,5+,no,yes,no,RandD,medium
0.41,0.48,two,136.0,3+,no,yes,no,marketing,medium
0.4,0.48,two,137.0,3+,no,yes,no,sales,medium
0.43,0.49,two,135.0,3+,no,yes,no,accounting,medium
0.43,0.5,two,137.0,3+,no,yes,no,support,medium
0.8,0.53,three,255.0,5+,no,yes,no,technical,high
0.8,0.85,four,273.0,5+,no,yes,no,management,low
0.82,0.98,five,234.0,5+,no,yes,no,marketing,medium
0.37,0.54,two,152.0,3+,no,yes,no,marketing,medium
0.37,0.48,two,134.0,3+,no,yes,no,marketing,medium
0.09,0.95,six,292.0,4+,no,yes,no,sales,medium
0.9,0.92,five,245.0,5+,no,yes,no,sales,low
0.41,0.52,two,159.0,3+,no,yes,no,sales,low
0.1,0.85,six,260.0,4+,no,yes,no,sales,low
